#{"t_start": 1661587503.4634001, "env_id": "SuperMarioBros-v0"}
r,l,t
1839.0,763,283.292475
1828.0,1160,288.332037
2681.0,2223,298.616103
3252.0,6068,453.361907
2535.0,1557,466.748208
1458.0,1062,476.086655
1980.0,2683,631.095266
2713.0,2114,647.507197
2230.0,9130,851.920771
2345.0,2189,1025.676106
1474.0,18332,1490.292976
1787.0,10078,1879.86582
1995.0,1741,1894.935446
1584.0,1735,1910.15114
1456.0,1573,1922.411551
1607.0,2185,2050.842049
2636.0,2802,2065.941307
3549.0,10537,2241.300452
2353.0,3263,2451.509436
1751.0,1995,2469.040364
1587.0,1097,2478.994293
3637.0,5808,2689.639738
1896.0,8150,2906.398233
2441.0,1942,2923.174303
1804.0,3365,3101.070071
1934.0,2026,3116.181697
1667.0,1609,3128.694095
1646.0,1109,3294.085061
1511.0,977,3301.899369
2105.0,2060,3318.501638
2188.0,6555,3529.266735
1628.0,9875,3769.86036
1292.0,5070,3955.569434
2069.0,3194,3983.129228
2571.0,2087,4151.382792
2020.0,1581,4164.83136
1341.0,3509,4195.544079
3342.0,4197,4394.653554
1476.0,1021,4403.096076
1098.0,463,4408.082109
2212.0,3565,4571.136527
2288.0,3333,4601.474021
2259.0,1703,4617.7413
2020.0,2303,4794.945825
2378.0,2729,4816.952593
1598.0,9605,5186.056283
1924.0,1502,5197.895795
2042.0,1190,5207.266999
1609.0,2771,5229.180914
1991.0,5653,5424.497314
2631.0,1557,5434.379193
1498.0,8268,5584.088977
3706.0,11100,5981.99068
2898.0,7489,6197.273868
2327.0,3007,6221.966287
2436.0,8375,6568.889685
2365.0,2847,6590.11503
3112.0,10480,6815.305164
2032.0,1135,6967.430929
2002.0,1873,6982.594242
1891.0,9122,7189.698634
2609.0,1666,7202.481753
1972.0,1226,7349.379181
1661.0,939,7356.4535
2871.0,2982,7379.651102
2360.0,1860,7394.497557
1435.0,1025,7542.266091
2690.0,1959,7556.635641
2125.0,1861,7570.473141
2959.0,10077,7786.801731
2622.0,1610,7949.552693
3073.0,3805,7980.029577
2186.0,1739,7993.682502
2077.0,9488,8349.87122
2371.0,1729,8363.215616
1103.0,8399,8601.021227
2116.0,3915,8730.002542
2655.0,12179,8958.467555
2780.0,16539,9438.689021
2045.0,1222,9447.282182
1254.0,4843,9615.43284
2292.0,9235,9806.812601
2002.0,1269,9816.582165
3083.0,3119,9840.231689
2107.0,10400,10142.580012
3330.0,4857,10294.824716
1733.0,9755,10441.327024
3023.0,12364,10661.31654
1964.0,2495,10672.231915
1388.0,2466,10683.307892
1337.0,3379,10778.787647
2525.0,3442,10795.776482
1956.0,1477,10887.566596
2680.0,1806,10895.515934
1611.0,9297,11020.720345
1611.0,2892,11117.212722
2063.0,1638,11124.488655
1840.0,10009,11252.120415
2110.0,9969,11463.527184
1880.0,885,11467.371055
1985.0,1203,11472.598521
1785.0,9223,11596.436764
1556.0,5953,11702.5043
1358.0,2877,11714.822363
2826.0,9678,11922.367174
1586.0,3163,11936.211879
1455.0,579,11938.747396
1408.0,1604,11945.645939
1690.0,1207,12033.8259
2754.0,2708,12045.633607
1091.0,475,12047.732132
1879.0,5493,12154.600624
2271.0,3173,12168.463253
1992.0,3406,12266.211439
1526.0,1433,12272.452925
2089.0,3833,12289.03736
2515.0,1780,12377.031637
2525.0,3641,12392.82264
2132.0,3748,12484.491472
2063.0,2257,12494.383168
1436.0,3404,12589.932654
2506.0,6409,12617.729073
1997.0,1108,12705.438365
1530.0,2971,12718.247134
2057.0,1859,12726.230292
2425.0,5779,12833.526529
2144.0,2774,12845.368101
1921.0,1774,12935.638639
1878.0,2041,12944.429656
1134.0,2499,12955.119085
2224.0,1352,13043.322247
2203.0,1615,13050.32474
1761.0,2008,13058.976121
2893.0,2933,13071.581024
2765.0,1327,13159.896348
2208.0,2571,13170.98925
1641.0,969,13175.152323
1626.0,1277,13180.623277
1093.0,471,13182.657914
2595.0,1735,13272.704465
1454.0,575,13275.193616
1435.0,969,13279.429119
1139.0,493,13281.561506
1824.0,4249,13299.694394
1439.0,1022,13386.637407
2066.0,1603,13393.677711
1036.0,8355,13510.388809
2156.0,2201,13519.92949
1798.0,1532,13608.996271
1920.0,3842,13625.900965
1642.0,1011,13630.328122
2237.0,5096,13734.848877
2679.0,3813,13751.449638
2372.0,1755,13841.342982
